name,surface,won,lost,total_games
Andre Agassi,Clay,13,6,19
Andre Agassi,Grass,16,5,21
Andre Agassi,Hard,58,9,67
Andreas Seppi,Clay,11,14,25
Andreas Seppi,Grass,17,15,32
Andreas Seppi,Hard,30,30,60
Andy Murray,Clay,39,10,49
Andy Murray,Grass,57,10,67
Andy Murray,Hard,93,25,118
Andy Roddick,Clay,9,10,19
Andy Roddick,Grass,41,12,53
Andy Roddick,Hard,81,23,104
David Ferrer,Clay,44,16,60
David Ferrer,Grass,28,15,43
David Ferrer,Hard,73,32,105
David Nalbandian,Clay,20,8,28
David Nalbandian,Grass,19,8,27
David Nalbandian,Hard,47,20,67
Fabio Fognini,Clay,21,11,32
Fabio Fognini,Grass,14,11,25
Fabio Fognini,Hard,19,24,43
Feliciano Lopez,Clay,12,19,31
Feliciano Lopez,Grass,34,18,52
Feliciano Lopez,Hard,50,35,85
Fernando Gonzalez,Clay,20,10,30
Fernando Gonzalez,Grass,16,9,25
Fernando Gonzalez,Hard,38,21,59
Fernando Verdasco,Clay,32,16,48
Fernando Verdasco,Grass,25,17,42
Fernando Verdasco,Hard,54,33,87
Gael Monfils,Clay,36,13,49
Gael Monfils,Grass,16,11,27
Gael Monfils,Hard,55,27,82
Gilles Simon,Clay,21,14,35
Gilles Simon,Grass,22,14,36
Gilles Simon,Hard,43,26,69
Guillermo Garcia Lopez,Clay,13,16,29
Guillermo Garcia Lopez,Grass,8,13,21
Guillermo Garcia Lopez,Hard,23,27,50
Ivo Karlovic,Clay,8,14,22
Ivo Karlovic,Grass,17,15,32
Ivo Karlovic,Hard,28,31,59
James Blake,Clay,6,9,15
James Blake,Grass,8,11,19
James Blake,Hard,46,21,67
Janko Tipsarevic,Clay,12,13,25
Janko Tipsarevic,Grass,12,14,26
Janko Tipsarevic,Hard,27,24,51
Jarkko Nieminen,Clay,13,12,25
Jarkko Nieminen,Grass,14,12,26
Jarkko Nieminen,Hard,27,28,55
Jo Wilfried Tsonga,Clay,28,11,39
Jo Wilfried Tsonga,Grass,32,11,43
Jo Wilfried Tsonga,Hard,60,21,81
John Isner,Clay,17,10,27
John Isner,Grass,16,11,27
John Isner,Hard,43,24,67
Juan Carlos Ferrero,Clay,34,11,45
Juan Carlos Ferrero,Grass,22,11,33
Juan Carlos Ferrero,Hard,43,22,65
Juan Martin Del Potro,Clay,22,9,31
Juan Martin Del Potro,Grass,21,9,30
Juan Martin Del Potro,Hard,54,18,72
Julien Benneteau,Clay,16,16,32
Julien Benneteau,Grass,11,14,25
Julien Benneteau,Hard,20,27,47
Jurgen Melzer,Clay,16,13,29
Jurgen Melzer,Grass,16,13,29
Jurgen Melzer,Hard,27,27,54
Kei Nishikori,Clay,22,9,31
Kei Nishikori,Grass,21,10,31
Kei Nishikori,Hard,52,19,71
Kevin Anderson,Clay,17,9,26
Kevin Anderson,Grass,20,11,31
Kevin Anderson,Hard,34,20,54
Lleyton Hewitt,Clay,28,13,41
Lleyton Hewitt,Grass,39,15,54
Lleyton Hewitt,Hard,76,30,106
Marat Safin,Clay,20,9,29
Marat Safin,Grass,16,9,25
Marat Safin,Hard,47,14,61
Marcos Baghdatis,Clay,10,13,23
Marcos Baghdatis,Grass,22,14,36
Marcos Baghdatis,Hard,35,27,62
Marin Cilic,Clay,25,13,38
Marin Cilic,Grass,29,12,41
Marin Cilic,Hard,65,21,86
Mikhail Youzhny,Clay,23,18,41
Mikhail Youzhny,Grass,32,18,50
Mikhail Youzhny,Hard,46,32,78
Milos Raonic,Clay,14,6,20
Milos Raonic,Grass,27,9,36
Milos Raonic,Hard,41,16,57
Nicolas Almagro,Clay,24,14,38
Nicolas Almagro,Grass,10,11,21
Nicolas Almagro,Hard,29,23,52
Nikolay Davydenko,Clay,26,13,39
Nikolay Davydenko,Grass,7,11,18
Nikolay Davydenko,Hard,49,26,75
Novak Djokovic,Clay,68,14,82
Novak Djokovic,Grass,72,10,82
Novak Djokovic,Hard,139,19,158
Philipp Kohlschreiber,Clay,14,15,29
Philipp Kohlschreiber,Grass,13,15,28
Philipp Kohlschreiber,Hard,44,31,75
Radek Stepanek,Clay,14,13,27
Radek Stepanek,Grass,19,14,33
Radek Stepanek,Hard,25,28,53
Rafael Nadal,Clay,93,2,95
Rafael Nadal,Grass,53,12,65
Rafael Nadal,Hard,125,24,149
Richard Gasquet,Clay,27,16,43
Richard Gasquet,Grass,28,14,42
Richard Gasquet,Hard,51,28,79
Roger Federer,Clay,70,16,86
Roger Federer,Grass,101,12,113
Roger Federer,Hard,186,28,214
Sam Querrey,Clay,5,12,17
Sam Querrey,Grass,23,12,35
Sam Querrey,Hard,30,25,55
Sebastien Grosjean,Clay,17,8,25
Sebastien Grosjean,Grass,20,8,28
Sebastien Grosjean,Hard,34,19,53
Stan Wawrinka,Clay,42,14,56
Stan Wawrinka,Grass,20,15,35
Stan Wawrinka,Hard,81,26,107
Tomas Berdych,Clay,25,15,40
Tomas Berdych,Grass,42,15,57
Tomas Berdych,Hard,79,31,110
Tommy Haas,Clay,19,11,30
Tommy Haas,Grass,19,12,31
Tommy Haas,Hard,49,25,74
Tommy Robredo,Clay,37,14,51
Tommy Robredo,Grass,14,14,28
Tommy Robredo,Hard,56,30,86
Xavier Malisse,Clay,13,10,23
Xavier Malisse,Grass,20,12,32
Xavier Malisse,Hard,23,24,47
